"Titre","Artiste","Spotify URI"
"Photograph","Ed Sheeran","spotify:track:1dyRiQZRGHZvesHh2hbp8g"
"Perfect","Ed Sheeran","spotify:track:0tgVpDi06FyKpA1z0VMD4v"
"Closer","The Chainsmokers, Halsey","spotify:track:7BKLCZ1jbUBVqRi2FVlTVw"
"Shape of You","Ed Sheeran","spotify:track:7qiZfU4dY1lWllzX7mPBI3"
"Havana (feat. Young Thug)","Camila Cabello, Young Thug","spotify:track:1rfofaqEpACxVEHIZBJe6W"
"Scars To Your Beautiful","Alessia Cara","spotify:track:0wI7QkCcs8FUQE1OkXUIqd"
"I Want It That Way","Backstreet Boys","spotify:track:47BBI51FKFwOMlIiX6m8ya"
"What Makes You Beautiful","One Direction","spotify:track:4cluDES4hQEUhmXj6TXkSo"
"Love Me Like You Do","Ellie Goulding","spotify:track:1zArTa4SIVhech5bHzzxeh"
"Night Changes","One Direction","spotify:track:5O2P9iiztwhomNh8xkR9lJ"
"Symphony (feat. Zara Larsson)","Clean Bandit, Zara Larsson","spotify:track:72gv4zhNvRVdQA0eOenCal"
"Baby","Justin Bieber, Ludacris","spotify:track:6epn3r7S14KUqlReYr77hA"
"A Thousand Miles","Vanessa Carlton","spotify:track:4w1lzcaoZ1IC2K5TwjalRP"
"Wrecking Ball","Miley Cyrus","spotify:track:2vwlzO0Qp8kfEtzTsCXfyE"
"Uptown Funk (feat. Bruno Mars)","Mark Ronson, Bruno Mars","spotify:track:32OlwWuMpZ6b0aN2RZOeMS"
"That's What I Like","Bruno Mars","spotify:track:0KKkJNfGyhkQ5aFogxQAPU"
"Memories","Maroon 5","spotify:track:4cktbXiXOapiLBMprHFErI"
"Take Me To Church","Hozier","spotify:track:3dYD57lRAUcMHufyqn9GcI"
"Señorita","Shawn Mendes, Camila Cabello","spotify:track:6v3KW9xbzN5yKLt9YKDYA2"
"24K Magic","Bruno Mars","spotify:track:6b8Be6ljOzmkOmFslEb23P"
"Bad Liar","Imagine Dragons","spotify:track:2RSHsoi04658QL5xgQVov3"
"Work from Home (feat. Ty Dolla $ign)","Fifth Harmony, Ty Dolla $ign","spotify:track:4tCtwWceOPWzenK2HAIJSb"
"CAN'T STOP THE FEELING! (from DreamWorks Animation's ""TROLLS"")","Justin Timberlake","spotify:track:6JV2JOEocMgcZxYSZelKcc"
"Locked Away (feat. Adam Levine)","R. City, Adam Levine","spotify:track:7x5xYW5W42OGPAdHUyyguy"
"I Don't Care","Ed Sheeran, Justin Bieber","spotify:track:6hvRoJ0BTZywxu8UCPBkzx"
"Too Good At Goodbyes","Sam Smith","spotify:track:1mXVgsBdtIVeCLJnSnmtdV"
"Girls Like You (feat. Cardi B) - Cardi B Version","Maroon 5, Cardi B","spotify:track:7fa9MBXhVfQ8P8Df9OEbD8"
"Shallow","Lady Gaga, Bradley Cooper","spotify:track:2VxeLyX666F8uXCJ0dZF8B"
"Before You Go","Lewis Capaldi","spotify:track:2gMXnyrvIjhVBUZwvLZDMP"
"Human","Rag'n'Bone Man","spotify:track:58zsLZPvfflaiIbNWoA22O"
"Sign of the Times","Harry Styles","spotify:track:5Ohxk2dO5COHF1krpoPigN"
"Another Love","Tom Odell","spotify:track:7jtQIBanIiJOMS6RyCx6jZ"
"When We Were Young","Adele","spotify:track:6O5TrlFWTYvznd9fMC0VvU"
"As It Was","Harry Styles","spotify:track:4Dvkj6JhhA12EX05fT7y2e"
"Ride","Twenty One Pilots","spotify:track:2Z8WuEywRWYTKe1NybPQEW"
"Dancing With A Stranger (with Normani)","Sam Smith, Normani","spotify:track:3xgT3xIlFGqZjYW9QlhJWp"
"Until I Found You","Stephen Sanchez","spotify:track:6VhuP99TE6gYNQRJIlAWFD"
"Die With A Smile","Lady Gaga, Bruno Mars","spotify:track:7so0lgd0zP2Sbgs2d7a1SZ"
"Me, Myself & I","G-Eazy, Bebe Rexha","spotify:track:40YcuQysJ0KlGQTeGUosTC"
"Always Remember Us This Way","Lady Gaga","spotify:track:2rbDhOo9Fh61Bbu23T2qCk"
"My Heart Will Go On - Love Theme from ""Titanic""","Céline Dion","spotify:track:33LC84JgLvK2KuW43MfaNq"
"Can't Help Falling in Love","Elvis Presley","spotify:track:44AyOl4qVkzS48vBsbNXaC"
"They Don't Care About Us","Michael Jackson","spotify:track:3wuCCNCnBhJlwkIJTBZFiv"
"Stand By Me","Ben E. King","spotify:track:7jmHyHMEqm9MJWiMAneF05"
"Levitating","Dua Lipa","spotify:track:39LLxExYz6ewLAcYrzQQyP"
"Easy On Me","Adele","spotify:track:46IZ0fSY2mpAiktS3KOqds"
"Beggin'","Måneskin","spotify:track:3Wrjm47oTz2sjIgck11l5e"
"You Are Not Alone","Michael Jackson","spotify:track:3AoeaZs8dFemFJr3JdzOL0"
"Lose Control","Teddy Swims","spotify:track:17phhZDn6oGtzMe56NuWvj"
"Mockingbird","Eminem","spotify:track:561jH07mF1jHuk7KlaeF0s"
"Dandelions","Ruth B.","spotify:track:2eAvDnpXP5W0cVtiI0PUxV"
"Levitating (feat. DaBaby)","Dua Lipa, DaBaby","spotify:track:5nujrmhLynf4yMoMtj8AQF"
"SNAP","Rosa Linn","spotify:track:5hx7w26Zi3zafMgvMTUqF6"
"Just the Two of Us","Grover Washington, Jr., Bill Withers","spotify:track:5fdNHVZHbWB1AaXk4RBGVD"
"Flowers","Miley Cyrus","spotify:track:7DSAEUvxU8FajXtRloy8M0"
"Stan","Eminem, Dido","spotify:track:3UmaczJpikHgJFyBTAJVoz"
"Never Gonna Give You Up","Rick Astley","spotify:track:4PTG3Z6ehGkBFwjybzWkR8"
"All The Stars (with SZA) - From ""Black Panther: The Album""","Kendrick Lamar, SZA","spotify:track:3GCdLUSnKSMJhs4Tj6CV3s"
"Killing Me Softly With His Song","Fugees, Ms. Lauryn Hill","spotify:track:0Q0IVlqMV64kNLlwjPj0Hl"
"Come and Get Your Love - Single Version","Redbone","spotify:track:7GVUmCP00eSsqc4tzj1sDD"
"I WANNA BE YOUR SLAVE","Måneskin","spotify:track:4pt5fDVTg5GhEvEtlz9dKk"
"Love In The Dark","Adele","spotify:track:0DuWDLjriRPjDRoPgaCslY"
"Unholy (feat. Kim Petras)","Sam Smith, Kim Petras","spotify:track:0NZPBYD5qbEWRs3PrGiRkT"
